id_city,cities,latitude,longitude,temp,rain,weather
0,Mont Saint Michel,48.6359541,-1.511459954959514,5.0,0.0,Fog
1,St Malo,48.649518,-2.0260409,5.1,0.0,Cloudly
2,Bayeux,49.2764624,-0.7024738,4.8,0.0,Cloudly
3,Le Havre,49.4938975,0.1079732,5.5,0.0,Cloudly
4,Rouen,49.4404591,1.0939658,4.2,0.0,Cloudly
5,Paris,48.8588897,2.3200410217200766,4.0,0.0,Cloudly
6,Amiens,49.8941708,2.2956951,3.7,0.0,Cloudly
7,Lille,50.6365654,3.0635282,3.4,0.0,Cloudly
8,Strasbourg,48.584614,7.7507127,2.4,0.1,Rain
9,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,-1.1,0.8,Cloudly
10,Colmar,48.0777517,7.3579641,2.2,0.0,Fog
11,Eguisheim,48.0447968,7.3079618,2.6,0.2,Cloudly
12,Besancon,47.2380222,6.0243622,2.1,0.2,Rain
13,Dijon,47.3215806,5.0414701,2.2,0.1,Cloudly
14,Annecy,45.8992348,6.1288847,0.6,0.0,Fog
15,Grenoble,45.1875602,5.7357819,2.8,0.0,Cloudly
16,Lyon,45.7578137,4.8320114,3.1,0.1,Cloudly
17,Gorges du Verdon,43.7496562,6.3285616,2.6,0.0,Cloudly
18,Bormes les Mimosas,43.1506968,6.3419285,6.3,0.0,Cloudly
19,Cassis,43.2140359,5.5396318,6.0,0.0,Cloudly
20,Marseille,43.2961743,5.3699525,4.9,0.0,Mainly clear
21,Aix en Provence,43.5298424,5.4474738,3.2,0.0,Fog
22,Avignon,43.9492493,4.8059012,1.6,0.0,Mainly clear
23,Uzes,44.0121279,4.4196718,3.6,0.0,Mainly clear
24,Nimes,43.8374249,4.3600687,4.8,0.0,Clear sky
25,Aigues Mortes,43.5658225,4.1912837,5.4,0.0,Clear sky
26,Saintes Maries de la mer,43.4522771,4.4287172,3.0,0.0,Cloudly
27,Collioure,42.52505,3.0831554,5.4,0.0,Cloudly
28,Carcassonne,43.2130358,2.3491069,0.0,0.0,Cloudly
29,Ariege,42.9455368,1.4065544156065486,-2.2,0.0,Cloudly
30,Toulouse,43.6044622,1.4442469,2.3,0.0,Fog
31,Montauban,44.0175835,1.3549991,2.4,0.0,Fog
32,Biarritz,43.471143749999996,-1.552726590666314,2.9,0.0,Drizzle
33,Bayonne,43.4945144,-1.4736657,3.2,0.0,Cloudly
34,La Rochelle,46.1591126,-1.1520434,3.8,0.0,Cloudly
